IB_ID,IB_DATE,IB_TIME,IB_PLATE,IB_TEMPERATURE
964,2007-11-26,13:05:00,ub,25
965,2007-11-26,14:05:00,ub,25
966,2007-11-26,15:05:00,ub,25
967,2007-11-26,16:05:00,ub,25
968,2007-11-26,17:05:00,ub,24.5
969,2007-11-26,18:05:00,ub,24
970,2007-11-26,19:05:00,ub,24
971,2007-11-26,20:05:00,ub,24
972,2007-11-26,21:05:00,ub,23.5
973,2007-11-26,22:05:00,ub,23
974,2007-11-26,23:05:00,ub,23
975,2007-11-27,00:05:00,ub,22.5
976,2007-11-27,01:05:00,ub,22
977,2007-11-27,02:05:00,ub,21.5
978,2007-11-27,03:05:00,ub,21.5
979,2007-11-27,04:05:00,ub,21
980,2007-11-27,05:05:00,ub,21
981,2007-11-27,06:05:00,ub,20.5
982,2007-11-27,07:05:00,ub,20.5
983,2007-11-27,08:05:00,ub,21.5
984,2007-11-27,09:05:00,ub,23
985,2007-11-27,10:05:00,ub,23.5
986,2007-11-27,11:05:00,ub,24.5
987,2007-11-27,12:05:00,ub,25.5
988,2007-11-27,13:05:00,ub,26
989,2007-11-27,14:05:00,ub,26
990,2007-11-27,15:05:00,ub,26
991,2007-11-27,16:05:00,ub,26
992,2007-11-27,17:05:00,ub,25.5
993,2007-11-27,18:05:00,ub,25
994,2007-11-27,19:05:00,ub,24.5
995,2007-11-27,20:05:00,ub,24
996,2007-11-27,21:05:00,ub,24
997,2007-11-27,22:05:00,ub,24
998,2007-11-27,23:05:00,ub,23.5
999,2007-11-28,00:05:00,ub,23
1000,2007-11-28,01:05:00,ub,22.5
1001,2007-11-28,02:05:00,ub,22.5
1002,2007-11-28,03:05:00,ub,22
1003,2007-11-28,04:05:00,ub,21.5
1004,2007-11-28,05:05:00,ub,21.5
1005,2007-11-28,06:05:00,ub,21
1006,2007-11-28,07:05:00,ub,21
