PT_ID,PT_DATE,PT_TIME,PT_TAG,PT_PLATE,PT_ENCLOSURE,PT_TA,PT_TB,PT_IB_ID,PT_CT_ID
1056,2007-11-09,02:00:48,662,bb,2,0,0,NULL,NULL
1057,2007-11-09,02:00:58,662,bb,2,0,0,NULL,NULL
1058,2007-11-09,02:01:08,662,bb,2,0,0,NULL,NULL
1059,2007-11-09,02:01:18,662,bb,2,0,0,NULL,NULL
1060,2007-11-09,02:01:30,662,bb,2,0,0,NULL,NULL
1061,2007-11-09,02:01:41,662,bb,2,0,0,NULL,NULL
1062,2007-11-09,02:13:19,662,bb,2,0,0,NULL,NULL
1063,2007-11-09,02:13:29,662,bb,2,0,0,NULL,NULL
1064,2007-11-09,02:13:39,662,bb,2,0,0,NULL,NULL
1065,2007-11-09,02:13:50,662,bb,2,0,0,NULL,NULL
1066,2007-11-09,02:14:00,662,bb,2,0,0,NULL,NULL
1067,2007-11-09,02:14:14,662,bb,2,0,0,NULL,NULL
1068,2007-11-09,02:14:35,662,bb,2,0,0,NULL,NULL
1069,2007-11-09,02:16:12,662,bb,2,0,0,NULL,NULL
1070,2007-11-09,02:16:22,662,bb,2,0,0,NULL,NULL
1071,2007-11-09,02:16:32,662,bb,2,0,0,NULL,NULL
1072,2007-11-09,02:16:42,662,bb,2,0,0,NULL,NULL
1073,2007-11-09,02:16:52,662,bb,2,0,0,NULL,NULL
1074,2007-11-09,02:17:02,662,bb,2,0,0,NULL,NULL
1075,2007-11-09,02:17:12,662,bb,2,0,0,NULL,NULL
1076,2007-11-09,02:17:24,662,bb,2,0,0,NULL,NULL
1077,2007-11-09,02:18:46,662,bb,2,0,0,NULL,NULL
1078,2007-11-09,02:19:02,662,bb,2,0,0,NULL,NULL
1079,2007-11-09,02:19:12,662,bb,2,0,0,NULL,NULL
1080,2007-11-09,02:19:22,662,bb,2,0,0,NULL,NULL
1081,2007-11-09,02:19:32,662,bb,2,0,0,NULL,NULL
1082,2007-11-09,02:19:42,662,bb,2,0,0,NULL,NULL
1083,2007-11-09,02:19:52,662,bb,2,0,0,NULL,NULL
1084,2007-11-09,02:20:02,662,bb,2,0,0,NULL,NULL
1085,2007-11-09,02:21:10,662,bb,2,0,0,NULL,NULL
1086,2007-11-09,02:21:21,662,bb,2,0,0,NULL,NULL
1087,2007-11-09,02:21:51,662,bb,2,0,0,NULL,NULL
1088,2007-11-09,02:22:01,662,bb,2,0,0,NULL,NULL
1089,2007-11-09,02:24:06,662,bb,2,0,0,NULL,NULL
1090,2007-11-09,02:24:21,662,bb,2,0,0,NULL,NULL
1091,2007-11-09,02:25:07,662,bb,2,0,0,NULL,NULL
1092,2007-11-09,02:25:17,662,bb,2,0,0,NULL,NULL
1093,2007-11-09,02:25:27,662,bb,2,0,0,NULL,NULL
1094,2007-11-09,02:25:37,662,bb,2,0,0,NULL,NULL
1095,2007-11-09,02:25:47,662,bb,2,0,0,NULL,NULL
1096,2007-11-09,02:25:57,662,bb,2,0,0,NULL,NULL
1097,2007-11-09,02:26:07,662,bb,2,0,0,NULL,NULL
1098,2007-11-09,02:26:17,662,bb,2,0,0,NULL,NULL
1099,2007-11-09,02:26:27,662,bb,2,0,0,NULL,NULL
1100,2007-11-09,02:26:41,662,bb,2,0,0,NULL,NULL
1101,2007-11-09,02:26:58,662,bb,2,0,0,NULL,NULL
1102,2007-11-09,02:27:08,662,bb,2,0,0,NULL,NULL
1103,2007-11-09,02:27:18,662,bb,2,0,0,NULL,NULL
1104,2007-11-09,02:28:28,662,bb,2,0,0,NULL,NULL
1105,2007-11-09,02:28:38,662,bb,2,0,0,NULL,NULL
1106,2007-11-09,02:28:53,662,bb,2,0,0,NULL,NULL
1107,2007-11-09,02:29:03,662,bb,2,0,0,NULL,NULL
1108,2007-11-09,02:29:13,662,bb,2,0,0,NULL,NULL
1109,2007-11-09,02:29:23,662,bb,2,0,0,NULL,NULL
1110,2007-11-09,02:29:34,662,bb,2,0,0,NULL,NULL
1111,2007-11-09,02:29:48,662,bb,2,0,0,NULL,NULL
1112,2007-11-09,02:29:58,662,bb,2,0,0,NULL,NULL
1113,2007-11-09,02:30:08,662,bb,2,0,0,NULL,NULL
1114,2007-11-09,02:31:07,662,bb,2,0,0,NULL,NULL
1115,2007-11-09,02:31:17,662,bb,2,0,0,NULL,NULL
1116,2007-11-09,02:31:43,662,bb,2,0,0,NULL,NULL
1117,2007-11-09,04:39:51,662,bb,2,0,0,NULL,NULL
1118,2007-11-09,04:40:05,662,bb,2,0,0,NULL,NULL
1119,2007-11-09,04:40:15,662,bb,2,0,0,NULL,NULL
1120,2007-11-09,17:17:49,662,bb,2,0,0,NULL,NULL
1121,2007-11-09,17:17:59,662,bb,2,0,0,NULL,NULL
1122,2007-11-09,17:18:09,662,bb,2,0,0,NULL,NULL
1123,2007-11-09,17:19:02,662,bb,2,0,0,NULL,NULL
1124,2007-11-09,17:19:13,662,bb,2,0,0,NULL,NULL
1125,2007-11-09,17:23:45,662,bb,2,0,0,NULL,NULL
1126,2007-11-09,17:23:57,662,bb,2,0,0,NULL,NULL
1127,2007-11-09,17:24:09,662,bb,2,0,0,NULL,NULL
1128,2007-11-09,17:24:36,662,bb,2,0,0,NULL,NULL
1129,2007-11-09,17:28:52,662,bb,2,0,0,NULL,NULL
1130,2007-11-09,17:30:58,662,bb,2,0,0,NULL,NULL
